N.º de venda,Data da venda,Status,Descrição do status,Pacote de diversos produtos,Unidades,Receita por produtos (BRL),Receita por envio (BRL),Tarifa de venda e impostos,Tarifas de envio,Cancelamentos e reembolsos (BRL),Total (BRL),Venda por publicidade,SKU,# de anúncio,Título do anúncio,Variação,Preço unitário de venda do anúncio (BRL),Tipo de anúncio,ID_Cliente,Estado,País,Forma de entrega,Data a caminho completa,Data de entrega completa,Reclamação aberta,Reclamação encerrada,Em mediação
2000005761367546,2023-06-01 08:15:00,Entregue,Chegou em 7 de junho,Não,3.0,149.7,0.0,-34.47,0.0,0.0,115.23,Sim,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,9CFTR5,Rio Grande do Sul,Brasil,Correios,2023-06-01 12:44:00,2023-06-07 15:49:00,Não,0.0,Não
2000005755934056,2023-05-31 14:34:00,Entregue,Chegou em 7 de junho,Não,2.0,99.8,10.82,-22.98,-10.82,0.0,76.82,Não,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,ANNUYA,Minas Gerais,Brasil,Correios,2023-06-01 12:44:00,2023-06-07 11:17:00,Não,0.0,Não
2000004479850781,2023-05-25 18:42:00,Entregue,Chegou em 1 de junho,Sim,1.0,116.72,0.0,-14.01,-18.45,0.0,84.26,Não,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,116.72,Clássico,H1HG33,Santa Catarina,Brasil,Correios,2023-05-26 11:32:00,2023-06-01 16:43:00,Não,0.0,Não
2000005602657044,2023-05-07 17:34:00,Entregue,Chegou em 11 de maio,Não,2.0,99.8,0.0,-22.98,0.0,0.0,76.82,Não,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,GTH51W,São Paulo,Brasil,Correios,2023-05-08 11:48:00,2023-05-11 14:47:00,Não,0.0,Não
2000005591541994,2023-05-05 16:01:00,Entregue,Chegou em 9 de maio,Não,2.0,99.8,0.0,-22.98,0.0,0.0,76.82,Não,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,N08MYR,São Paulo,Brasil,Correios,2023-05-08 11:48:00,2023-05-09 17:44:00,Não,0.0,Não
2000005571401546,2023-05-02 17:23:00,Entregue,Chegou em 8 de maio,Não,2.0,99.8,0.0,-22.98,0.0,0.0,76.82,Não,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,68LJJ2,São Paulo,Brasil,Correios,2023-05-03 11:36:00,2023-05-08 16:04:00,Não,0.0,Não
2000005564024958,2023-05-01 15:01:00,Entregue,Chegou em 8 de maio,Não,1.0,116.72,0.0,-14.01,-18.45,0.0,84.26,Não,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,116.72,Clássico,PUO6GF,São Paulo,Brasil,Correios,2023-05-02 11:43:00,2023-05-08 15:36:00,Não,0.0,Não
2000005475883734,2023-04-16 13:34:00,Entregue,Chegou em 26 de abril,Não,1.0,141.9,9.2,-17.03,-30.65,0.0,103.42,Não,WHEY-GROWTH-80-1KG-SORVETECREME,MLB2787409678,Suplemento Em Pó Whey Protein Concentrado 80% Growth 1kg,Sabor : Sorvete de creme,141.9,Clássico,5RZ63M,Espírito Santo,Brasil,Correios,2023-04-17 13:22:00,2023-04-26 15:44:00,Não,0.0,Não
2000005417369780,2023-04-06 00:14:00,Entregue,Chegou em 18 de abril,Não,1.0,141.9,9.2,-17.03,-30.65,0.0,103.42,Não,WHEY-GROWTH-80-1KG-SORVETECREME,MLB2787409678,Suplemento Em Pó Whey Protein Concentrado 80% Growth 1kg,Sabor : Sorvete de creme,141.9,Clássico,JC1I4P,Goiás,Brasil,Correios,2023-04-06 13:31:00,2023-04-18 15:08:00,Não,0.0,Não
2000005362572604,2023-04-05 02:47:00,Entregue,Chegou em 12 de abril,Não,1.0,49.9,22.0,-11.49,-22.0,0.0,38.41,Não,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,P5QMQH,Santa Catarina,Brasil,Correios,2023-04-05 15:10:00,2023-04-12 09:27:00,Não,0.0,Não
